name,rating,position,ver,ps_price,skills,weak_foot,work_rate,pac,sho,pas,dri,def,phy,hei,popularity,base_stats,in_game_stats,wei,ps
Alisson,89,GK,Normal,36.5K,1,3,M  M,85,84,85,89,52,90,191,1203,485,1015,91,36500
Harry Kane,89,ST,Normal,36.75K,3,4,H  H,70,91,79,81,47,83,188,1118,451,2213,89,36750
Sergio Ramos,89,CB,Normal,40.75K,3,3,H  M,72,68,75,74,87,85,184,2479,461,2270,82,40750
Kalidou Koulibaly,89,CB,Normal,36.5K,2,3,M  H,71,28,54,68,89,87,187,1352,397,1764,89,36500
Kylian Mbappe,89,ST,Normal,430K,5,4,H  L,96,84,78,90,39,75,178,6798,462,2175,73,430000
Antoine Griezmann,89,CF,Normal,37.5K,4,3,H  H,81,86,84,89,57,72,176,5025,469,2326,73,37500
Paulo Dybala,88,CAM,Normal,29K,4,3,M  M,83,82,84,90,43,64,177,1779,446,2190,75,29000
Marco Reus,88,CAM,Normal,29.5K,4,4,H  M,85,88,84,87,45,66,180,3906,455,2217,71,29500
Paul Pogba,88,CM,Normal,90.5K,5,4,H  M,74,81,86,85,66,86,191,3198,478,2311,84,90500
David Silva,88,CAM,Normal,27.75K,4,2,H  M,65,74,88,89,52,57,173,261,425,2124,67,27750
Ederson,88,GK,Normal,27.75K,1,3,M  M,86,82,93,88,64,86,188,693,499,1157,86,27750
Raheem Sterling,88,RW,Normal,28.5K,4,3,H  M,93,79,78,89,45,57,170,1970,441,2074,69,28500
Pique,88,CB,Normal,31K,2,3,H  M,56,61,72,69,88,80,194,296,426,2029,85,31000
Manuel Neuer,88,GK,Normal,28.75K,1,4,M  M,87,87,91,87,56,85,193,1076,493,1143,92,28750
Sadio Mane,88,LW,Normal,78K,4,4,H  M,94,83,77,88,44,74,175,3748,460,2200,69,78000
Christian Eriksen,88,CAM,Normal,30K,4,5,H  H,73,81,90,84,53,63,181,1735,444,2162,76,30000
Hugo Lloris,88,GK,Normal,30K,1,1,M  M,89,82,68,91,64,84,188,1053,478,1014,82,30000
Aubameyang,88,ST,Normal,45K,4,4,M  L,94,85,75,80,37,69,187,3179,440,2104,80,45000
Thibaut Courtois,88,GK,Normal,28.5K,1,3,M  M,85,89,72,87,48,85,199,130,466,972,96,28500
Toni Kroos,88,CM,Normal,29K,3,5,M  M,45,80,90,81,70,69,183,36,435,2149,76,29000
Edinson Cavani,88,ST,Normal,27K,3,4,H  H,75,86,72,79,55,83,185,325,450,2196,77,27000
Diego Godin,88,CB,Normal,30K,2,3,M  H,60,48,64,63,89,83,187,103,407,1942,78,30000
Samir Handanovic,88,GK,Normal,29K,1,2,M  M,88,85,69,89,53,89,193,357,473,941,92,29000
Christian Eriksen,88,CAM,Normal,28.75K,4,5,H  H,73,81,90,84,53,63,181,113,444,2162,76,28750
Fernandinho,87,CDM,Normal,21.5K,3,4,M  H,66,74,79,79,84,79,179,669,461,2227,67,21500
Bernardo Silva,87,RW,Normal,20.75K,4,3,H  H,81,76,83,92,51,67,173,1107,450,2150,64,20750
Aymeric Laporte,87,CB,Normal,22.5K,2,3,M  M,64,50,71,69,88,82,189,1673,424,2028,85,22500
Jordi Alba,87,LB,Normal,27K,3,3,H  M,90,69,81,83,79,73,170,966,475,2269,68,27000
Mats Hummels,87,CB,Normal,21K,3,3,H  M,51,58,76,73,89,76,191,104,423,2067,94,21000
Thiago,87,CM,Normal,20.5K,5,3,M  M,69,74,85,90,69,63,174,421,450,2248,70,20500
Jan Vertonghen,87,CB,Normal,24.75K,3,3,H  H,63,63,74,73,87,79,189,143,439,2123,86,24750
Toby Alderweireld,87,CB,Normal,23.25K,2,3,M  M,64,55,72,67,88,79,186,341,425,2057,81,23250
Heung Min Son,87,CF,Normal,103K,4,5,H  H,88,86,80,87,42,68,183,11236,451,2153,78,103000
Casemiro,87,CDM,Normal,20.75K,2,3,M  H,62,72,75,72,85,89,185,966,455,2206,84,20750
Keylor Navas,87,GK,Normal,0,1,3,M  M,90,81,75,90,54,82,185,42,472,1029,80,0
Karim Benzema,87,CF,Normal,21.5K,4,4,M  L,76,82,80,86,39,77,185,861,440,2126,81,21500
Lorenzo Insigne,87,CF,Normal,22.5K,4,4,H  M,89,79,85,91,35,47,163,1508,426,2066,59,22500
Dries Mertens,87,CF,Normal,22K,4,4,H  L,88,83,80,90,35,53,169,2577,429,2084,61,22000
Thiago Silva,87,CB,Normal,24K,2,3,M  H,62,54,72,73,87,78,183,86,426,2092,82,24000
Keylor Navas,87,GK,Normal,19.25K,1,3,M  M,90,81,75,90,54,82,185,379,472,1029,80,19250
Leonardo Bonucci,86,CB,Normal,16K,2,4,L  H,58,58,69,71,87,79,190,-19,422,2042,85,16000
Miralem Pjanic,86,CM,Normal,14.75K,3,4,M  M,68,68,87,85,75,67,178,65,450,2228,72,14750
Wojciech Szczesny,86,GK,Normal,15.75K,1,3,M  M,85,82,73,88,49,86,195,208,463,966,90,15750
Leroy Sane,86,LW,Normal,30.5K,4,3,H  M,95,81,79,86,38,70,183,1881,449,2131,75,30500
Coutinho,86,LW,Normal,20.5K,5,4,H  M,79,80,84,90,52,64,172,858,449,2178,68,20500
Ivan Rakitic,86,CM,Normal,14K,3,4,M  M,62,81,86,81,74,70,184,84,454,2202,78,14000
Samuel Umtiti,86,CB,Normal,17.25K,2,3,M  H,69,63,69,70,86,82,182,902,439,2115,75,17250
Thomas Muller,86,CAM,Normal,13.5K,3,4,H  H,72,83,79,78,55,71,186,86,438,2136,75,13500
Joshua Kimmich,86,RB,Normal,22.25K,3,4,H  L,72,69,86,84,79,78,176,408,468,2266,73,22250
Roberto Firmino,86,CF,Normal,16.25K,5,4,H  H,77,82,80,87,61,78,181,2046,465,2231,76,16250
Alexandre Lacazette,86,ST,Normal,16K,4,4,H  H,82,85,75,86,40,74,175,3437,442,2143,73,16000
Isco,86,CAM,Normal,15.5K,4,3,M  L,71,77,83,90,59,60,176,259,440,2140,79,15500
Marco Verratti,86,CM,Normal,13K,4,4,M  H,65,60,84,90,79,66,165,109,444,2190,60,13000
Marquinhos,86,CB,Normal,19.75K,3,3,M  H,74,41,73,71,86,77,183,622,422,2002,75,19750
angel Di Maria,86,RW,Normal,15.5K,5,2,H  M,84,79,84,87,48,68,180,189,450,2191,69,15500
Ciro Immobile,86,ST,Normal,13.5K,3,4,H  M,80,85,63,81,39,76,185,572,424,2028,85,13500
Milan Škriniar,86,CB,Normal,17.5K,2,4,M  H,69,41,59,66,87,82,187,236,404,1843,80,17500
Parejo,86,CM,Normal,13.5K,3,4,M  M,41,80,88,79,70,69,182,-105,427,2150,74,13500
Timo Werner,86,ST,Normal,14.25K,3,4,H  M,92,84,71,84,36,71,180,450,438,2054,75,14250
Alex Sandro,85,LB,Normal,16.75K,3,3,H  M,83,65,77,80,82,82,180,868,469,2233,80,16750
Blaise Matuidi,85,CDM,Normal,9K,2,2,M  H,75,66,76,78,83,81,180,1058,459,2201,75,9000
Axel Witsel,85,CDM,Normal,8K,4,4,M  H,73,74,80,80,83,81,186,1402,471,2267,81,8000
Romelu Lukaku,85,ST,Normal,6.3K,3,4,M  M,75,82,73,72,35,84,190,301,421,1997,,6300
James Rodriguez,85,CAM,Normal,6.9K,4,2,M  M,55,86,87,86,50,63,180,6,427,2134,75,6900
David Alaba,85,LB,Normal,13.75K,3,4,M  M,83,73,81,80,80,76,180,659,473,2287,78,13750
Niklas Sule,85,CB,Normal,12K,2,3,M  M,72,42,55,51,86,82,195,871,388,1711,,12000
Fabinho,85,CDM,Normal,8.2K,3,2,M  H,68,69,78,77,85,83,188,1717,460,2200,78,8200
Andrew Robertson,85,LB,Normal,14.5K,3,2,H  H,85,62,77,79,80,75,178,1595,458,2116,64,14500
Marcelo,85,LB,Normal,11.5K,5,4,H  L,81,74,83,89,77,79,174,1401,483,2299,75,11500
Raphaël Varane,85,CB,Normal,71K,2,3,M  H,83,45,62,64,85,80,191,3686,419,1920,81,71000
Carvajal,85,RB,Normal,19.75K,3,3,H  H,81,47,78,81,82,80,173,698,449,2116,,19750
Gianluigi Donnarumma,85,GK,Normal,8.2K,1,3,M  M,90,80,74,90,49,80,196,412,463,979,90,8200
Bruno Fernandes,85,CAM,Normal,15K,4,4,H  H,77,83,87,85,65,74,179,628,471,2301,69,15000
Allan,85,CM,Normal,9K,4,3,M  H,75,71,78,84,85,84,175,3031,477,2235,74,9000
Kostas Manolas,85,CB,Normal,12.75K,2,2,L  H,82,25,42,62,86,81,189,1034,378,1687,83,12750
Koke,85,RM,Normal,8.5K,3,4,H  H,68,75,86,82,74,79,176,8,464,2233,74,8500
Saul,85,CM,Normal,10.5K,3,4,H  H,70,78,79,81,78,78,184,444,464,2224,77,10500
Jose Maria Gimenez,85,CB,Normal,8.9K,2,3,M  H,69,45,52,56,86,82,185,228,390,1784,80,8900
Rodrigo,85,CDM,Normal,7.5K,3,4,M  H,67,68,77,78,82,80,191,837,452,2137,82,7500
Sergej Milinkovic-Savic,85,CM,Normal,8.3K,4,4,H  M,67,79,80,82,77,84,191,275,469,2235,76,8300
Mauro Icardi,85,ST,Normal,0,3,4,M  L,75,84,61,77,36,69,181,-41,402,1952,75,0
Hakim Ziyech,85,CAM,Normal,6.3K,5,2,H  M,80,75,86,83,50,66,181,277,440,2117,65,6300
Matthijs de Ligt,85,CB,Normal,10K,2,4,M  H,67,58,66,69,83,84,189,531,427,1988,89,10000
Frenkie de Jong,85,CM,Normal,7.3K,4,3,M  H,79,64,84,88,76,76,180,3754,467,2216,74,7300
Alejandro Gomez,85,CAM,Normal,8.2K,4,4,H  M,89,78,81,86,39,55,165,813,428,2073,68,8200
Zlatan Ibrahimovic,85,ST,Normal,6.5K,5,4,M  L,56,88,77,78,34,78,195,267,411,2040,95,6500
Gareth Bale,85,RW,Normal,10.75K,4,3,M  M,91,87,82,82,58,76,185,2976,476,2280,82,10750
Lopes,85,GK,Normal,5.6K,1,2,M  M,87,80,75,89,63,84,184,37,478,1046,81,5600
Clement Lenglet,85,CB,Normal,9.6K,2,4,M  H,75,45,68,66,86,80,186,5834,420,1968,81,9600
Gonzalo Higuain,85,ST,Normal,6.5K,3,4,H  M,63,85,71,80,31,71,186,-62,401,1962,89,6500
Peter Gulacsi,85,GK,Normal,6.3K,1,2,M  M,84,86,81,86,43,84,192,325,464,926,86,6300
Roman Burki,85,GK,Normal,6.4K,1,2,M  M,86,80,74,89,48,83,187,291,460,941,85,6400
Iago Aspas,85,ST,Normal,6.8K,3,3,H  H,78,84,77,85,35,64,176,218,423,2073,67,6800
Neto,85,GK,Normal,8.5K,1,2,M  M,86,81,79,82,54,82,190,409,464,998,84,8500
Mauro Icardi,85,ST,Normal,6K,3,4,M  L,75,84,61,77,36,69,181,152,402,1952,75,6000
Zlatan Ibrahimovic,85,ST,Normal,6.5K,5,4,M  L,56,88,77,78,34,78,195,726,411,2040,95,6500
Andre Onana,85,GK,Normal,3.8K,1,3,M  M,85,80,88,85,63,82,187,124,483,-,,3800
Jamie Vardy,85,ST,Normal,7.5K,3,3,H  H,89,84,67,78,57,76,179,196,451,2146,74,7500
Bruno Fernandes,85,CAM,Normal,18K,4,4,H  H,77,83,87,85,65,74,179,796,471,2301,69,18000
João Cancelo,84,RB,Normal,8K,4,3,H  M,90,65,80,84,78,71,182,1795,468,2220,74,8000
Riyad Mahrez,84,RW,Normal,4.4K,5,4,M  M,84,78,79,89,38,59,179,869,427,2050,67,4400
Kyle Walker,84,RB,Normal,10.75K,2,2,H  H,91,63,76,77,81,81,183,1615,469,2203,70,10750
Jadon Sancho,84,RM,Normal,3.7K,5,4,M  L,88,72,77,90,36,60,180,1766,423,1963,76,3700
João Moutinho,84,CM,Normal,2.1K,3,4,H  H,56,75,85,82,71,67,170,60,436,2188,61,2100
Salvatore Sirigu,84,GK,Normal,3.1K,1,2,M  M,84,80,76,82,50,84,192,50,456,916,80,3100
Sokratis,84,CB,Normal,4.5K,2,2,M  H,72,51,52,61,84,83,186,846,403,1851,85,4500
Lucas Leiva,84,CDM,Normal,3.2K,3,3,M  H,62,66,76,78,83,73,179,56,438,2140,78,3200
Mesut Özil,84,CAM,Normal,2.8K,4,2,M  L,70,72,86,84,24,56,180,66,392,1918,76,2800
Edin Džeko,84,ST,Normal,2.4K,2,5,M  M,60,84,71,75,46,73,193,38,409,1942,80,2400
Arturo Vidal,84,CM,Normal,3.8K,3,4,H  H,67,79,80,79,85,86,180,2000,476,2330,75,3800
Ilkay Gundogan,84,CM,Normal,3.7K,4,4,H  M,66,74,84,84,72,71,180,110,451,2196,80,3700
Memphis Depay,84,CF,Normal,2K,5,3,H  L,87,80,81,83,32,78,176,1668,441,2110,,2000
Edin Višca,84,RM,Normal,2K,4,4,H  M,88,79,79,84,47,64,172,84,441,2100,63,2000
Kepa Arrizabalaga,84,GK,Normal,3.4K,1,4,M  M,84,82,86,85,34,80,186,373,451,960,85,3400
Felipe,84,CB,Normal,4.8K,2,3,M  H,64,41,57,61,84,87,190,358,394,1819,83,4800
Alex Telles,84,LB,Normal,4K,3,2,H  H,85,72,84,81,80,76,181,1387,478,2298,71,4000
Kingsley Coman,84,LM,Normal,3.8K,4,3,M  L,92,76,77,86,29,60,179,1100,420,2007,75,3800
Nabil Fekir,84,CAM,Normal,2.6K,4,3,H  M,78,82,81,88,33,77,173,1329,439,2101,75,2600
Lucas Hernandez,84,CB,Normal,5K,2,3,H  H,81,54,70,71,83,82,182,3968,441,2051,76,5000
Arthur,84,CM,Normal,3.6K,4,3,M  M,69,71,81,86,73,70,171,426,450,2165,73,3600
Ousmane Dembele,84,RW,Normal,4.5K,5,5,H  M,93,79,80,87,36,57,178,6859,432,2046,67,4500
Mario Mandžukic,84,ST,Normal,9.2K,3,3,H  H,68,80,71,76,65,86,190,-1,446,2139,85,9200
Pepe,84,CB,Normal,4.2K,2,3,M  H,67,51,57,61,85,85,188,103,406,1892,81,4200
Stephane Ruffier,84,GK,Normal,1.8K,1,3,M  M,82,84,75,82,47,85,188,73,455,946,,1800
Marek Hamšik,84,CM,Normal,1.5K,3,5,H  M,69,77,83,83,72,69,183,4,453,2203,73,1500
Javi Martinez,84,CDM,Normal,3.1K,2,3,L  M,48,55,69,64,86,83,192,29,405,1970,86,3100
Yann Sommer,84,GK,Normal,1.7K,1,4,M  M,79,85,81,87,50,80,183,49,462,988,79,1700
Georginio Wijnaldum,84,CM,Normal,3K,4,3,H  H,77,73,78,85,76,78,175,2280,467,2250,69,3000
Ivan Perišic,84,LM,Normal,3.7K,4,5,M  M,84,80,78,82,62,77,186,749,463,2218,80,3700
Jerôme Boateng,84,CB,Normal,5.7K,2,4,M  M,66,50,72,66,84,82,192,204,420,1971,,5700
Azpilicueta,84,RB,Normal,6.3K,2,3,M  M,70,55,77,73,85,76,178,36,436,2123,76,6300
Jose Callejon,84,RM,Normal,5.4K,3,3,H  H,89,78,75,83,47,64,178,151,436,2072,73,5400
Paulinho,84,CM,Normal,2.2K,4,4,H  H,72,81,77,80,78,85,183,563,473,2273,80,2200
Serge Gnabry,84,RM,Normal,4.6K,4,4,H  M,90,82,75,85,43,69,175,2034,444,2083,75,4600
Leon Goretzka,84,CM,Normal,4.3K,3,4,H  M,81,77,80,81,75,79,189,1630,473,2246,79,4300
Dele Alli,84,CAM,Normal,3K,4,3,H  H,72,81,79,82,71,79,188,689,464,2238,80,3000
Julian Brandt,84,CAM,Normal,2.9K,4,4,M  M,82,78,81,85,40,68,185,570,434,2036,83,2900
Kai Havertz,84,CAM,Normal,2.6K,4,4,M  M,84,78,79,84,44,65,188,1827,434,2057,83,2600
Jiri Pavlenka,84,GK,Normal,1.6K,1,3,M  M,86,79,70,88,36,80,196,151,439,741,81,1600
Douglas Costa,84,LM,Normal,5.8K,5,3,H  M,94,73,79,91,43,61,172,1337,441,2103,70,5800
Bernd Leno,84,GK,Normal,3.2K,1,3,M  M,83,81,78,85,55,84,190,325,466,994,83,3200
Pizzi,84,RM,Normal,2.1K,3,4,H  M,77,77,84,81,63,68,177,4,450,2187,72,2100
Stefan de Vrij,84,CB,Normal,4.4K,2,4,M  H,66,41,62,68,86,74,189,101,397,1838,78,4400
Dušan Tadic,84,CAM,Normal,1.8K,4,3,M  M,68,80,84,85,41,71,181,60,429,2102,76,1800
Felipe Anderson,84,LM,Normal,5.5K,4,4,H  M,89,77,79,88,55,61,175,2273,449,2102,70,5500
Canales,84,CAM,Normal,3.1K,4,3,H  M,78,79,83,81,51,66,176,158,438,2057,65,3100
Luis Alberto,84,CAM,Normal,3.3K,4,3,M  M,71,76,84,85,49,59,183,109,424,2023,74,3300
Josip Ilicic,84,CF,Normal,2.2K,4,4,M  M,70,84,84,84,43,67,190,149,432,2058,79,2200
Lautaro Martinez,84,ST,Normal,1.9K,4,4,H  M,81,80,68,85,48,83,174,121,445,2095,,1900
Wilfred Ndidi,84,CDM,Normal,1.8K,3,4,M  H,72,64,70,75,86,83,183,141,450,2153,74,1800
Luiz Frello Filho Jorge,83,CM,Normal,1.3K,3,3,M  M,55,63,84,81,70,73,180,42,426,2117,67,1300
Davinson Sanchez,83,CB,Normal,3K,2,3,M  H,74,45,57,67,83,81,187,1697,407,1827,79,3000
Julian Draxler,83,CAM,Normal,1.3K,4,5,M  M,77,79,81,86,55,63,187,131,441,2129,77,1300
Falcao,83,ST,Normal,0,3,4,H  M,65,82,69,77,43,72,177,12,408,2043,72,0
Luka Jovic,83,ST,Normal,1K,3,5,M  M,77,82,68,81,29,74,182,536,411,1965,,1000
Nicolas Pepe,83,RM,Normal,3.2K,4,3,H  L,91,81,75,85,33,67,183,1931,432,2050,73,3200
Vincent Kompany,83,CB,Normal,1.7K,2,3,M  H,50,53,65,64,84,79,190,30,395,1891,85,1700
Raul Albiol,83,CB,Normal,2.5K,2,3,L  H,48,41,61,64,86,72,190,70,372,1781,82,2500
Fabio Quagliarella,83,ST,Normal,1.4K,4,4,M  M,69,89,75,80,30,65,180,255,408,2012,79,1400
Carlos Vela,83,RW,Normal,1.5K,4,2,H  L,80,82,78,84,31,67,177,63,422,2035,77,1500
Max Kruse,83,CF,Normal,750,4,4,H  M,66,83,83,83,45,70,180,35,430,2103,76,750
Jordan Henderson,83,CDM,Normal,1.2K,3,3,H  H,64,70,83,77,78,80,182,212,452,2202,80,1200
Idrissa Gueye,83,CDM,Normal,1.2K,3,3,M  H,73,59,70,78,85,78,174,375,443,2107,66,1200
Kevin Kampl,83,CM,Normal,1.2K,3,4,H  H,76,67,80,85,63,62,178,44,433,2107,67,1200
Pablo Sarabia,83,CAM,Normal,1.1K,4,4,H  M,75,76,82,84,57,57,174,163,431,2052,70,1100
Lucas,83,CF,Normal,4.2K,4,4,H  M,92,79,76,87,42,66,174,4909,442,2128,70,4200
John Stones,83,CB,Normal,4K,3,4,H  M,68,36,70,72,84,77,188,151,407,1887,70,4000
Sebastien Haller,83,ST,Normal,1.3K,3,2,H  M,72,81,62,76,51,82,190,211,424,2010,82,1300
Grimaldo,83,LB,Normal,2.2K,3,2,H  M,85,63,79,84,77,71,171,58,459,2204,69,2200
Anthony Martial,83,LW,Normal,4.5K,4,3,M  L,89,81,72,85,41,71,184,1790,439,2070,76,4500
Marco Asensio,83,LW,Normal,4.1K,4,3,H  M,81,80,82,84,43,62,182,181,432,2073,76,4100
Sami Khedira,83,CM,Normal,1.2K,2,4,M  H,51,74,78,78,80,80,189,37,441,2132,90,1200
David Luiz,83,CB,Normal,3.8K,3,3,M  M,61,65,74,71,82,77,189,154,430,2103,86,3800
Aaron Ramsey,83,CM,Normal,1.3K,3,3,H  H,68,77,79,80,68,74,183,102,446,2163,76,1300
Juan Cuadrado,83,RM,Normal,2.5K,5,3,H  M,91,72,77,87,66,67,179,257,460,2190,72,2500
Danilo Pereira,83,CDM,Normal,1.4K,3,3,M  H,65,63,72,74,82,85,188,83,441,2045,83,1400
Adrien Rabiot,83,CM,Normal,1.6K,3,3,H  M,73,74,79,81,77,80,192,341,464,2214,80,1600
Andres Iniesta Lujan,83,CM,Normal,950,4,4,H  M,64,70,86,87,62,60,171,106,429,2091,68,950
Gianluigi Buffon,83,GK,Normal,1.4K,1,2,M  M,78,77,74,80,34,91,192,116,434,966,92,1400
Rune Almenning Jarstein,83,GK,Normal,850,1,4,M  M,79,82,76,84,42,86,190,26,449,875,86,850
Kasper Schmeichel,83,GK,Normal,1.5K,1,3,M  M,82,77,79,88,58,79,189,81,463,1029,,1500
Ezequiel Garay,83,CB,Normal,2.3K,2,3,M  M,43,60,67,62,82,81,189,-17,395,1932,90,2300
Rui Patricio,83,GK,Normal,1.8K,1,2,M  M,84,80,77,82,55,81,190,74,459,1028,84,1800
Radja Nainggolan,83,CAM,Normal,1.4K,3,3,H  H,72,79,78,83,83,82,176,1070,477,2292,,1400
ever Banega,83,CDM,Normal,1K,4,4,H  M,61,73,84,82,77,70,174,-32,447,2191,71,1000
Diego Costa,83,ST,Normal,1.2K,2,4,H  M,73,82,64,76,49,85,188,29,429,2008,86,1200
Gylfi Sigurðsson,83,CAM,Normal,950,3,4,H  H,56,81,84,81,57,69,186,37,428,2119,77,950
Oscar,83,CAM,Normal,950,4,3,H  M,74,76,83,81,55,50,181,22,419,2057,71,950
Kevin Trapp,83,GK,Normal,950,1,4,M  M,82,77,79,85,48,83,189,59,454,896,86,950
Illarramendi,83,CDM,Normal,1.1K,3,3,M  H,54,71,80,79,80,71,179,0,435,2107,75,1100
Daley Blind,83,CDM,Normal,1.3K,3,3,M  M,54,65,80,77,82,74,180,26,432,2130,72,1300
Lukaš Hradecký,83,GK,Normal,800,1,3,M  M,85,79,69,86,40,82,192,66,441,816,85,800
Nicolas Otamendi,83,CB,Normal,2.9K,2,3,M  H,56,57,63,61,83,78,183,40,398,1916,81,2900
Koen Casteels,83,GK,Normal,1.5K,1,2,M  M,83,79,79,83,45,82,197,46,451,928,86,1500
Marc Bartra,83,CB,Normal,2.7K,3,3,H  M,73,61,73,73,82,74,184,169,436,2074,73,2700
Rodrigo,83,ST,Normal,1.1K,4,3,H  M,90,80,74,81,44,70,182,881,439,2091,77,1100
Wilfried Zaha,83,CF,Normal,1.2K,5,3,H  L,91,76,72,87,27,74,180,1433,427,1953,66,1200
Charles Aranguiz,83,CM,Normal,1.4K,3,4,M  M,63,72,82,81,74,73,171,62,445,2193,70,1400
Wissam Ben Yedder,83,ST,Normal,2K,4,5,H  H,84,82,77,85,39,61,170,3964,428,2097,68,2000
Francesco Acerbi,83,CB,Normal,2.9K,3,3,M  M,56,50,61,64,86,82,192,79,399,1882,88,2900
Jasper Cillessen,83,GK,Normal,1.2K,1,3,M  M,82,83,78,83,52,81,185,99,459,985,83,1200
Paco Alcacer,83,ST,Normal,3K,3,4,M  L,79,84,68,81,36,63,175,302,411,2018,72,3000
Lucas Digne,83,LB,Normal,3.5K,3,3,H  M,78,69,79,79,80,76,178,530,461,2242,74,3500
Morata,83,ST,Normal,1.1K,3,4,H  H,81,79,71,79,31,72,189,66,413,1941,84,1100
Jordan Pickford,83,GK,Normal,1.8K,1,4,M  M,82,78,87,86,49,82,185,198,464,1149,77,1800
Florian Thauvin,83,RW,Normal,2K,4,3,H  M,83,80,81,83,41,69,179,144,437,2114,70,2000
Arkadiusz Milik,83,ST,Normal,1.1K,4,3,M  M,69,85,64,76,39,74,186,16,407,1980,78,1100
William Carvalho,83,CDM,Normal,1K,3,4,M  M,42,57,77,74,79,85,187,24,414,1997,83,1000
Yannick Carrasco,83,LM,Normal,2.6K,4,4,H  M,90,80,75,86,39,64,180,259,434,2047,71,2600
Alessio Romagnoli,83,CB,Normal,2.8K,2,3,M  H,63,40,55,67,85,79,188,122,389,1779,78,2800
Timo Werner,83,ST,Normal,2.2K,3,4,H  M,92,81,67,82,35,69,180,2816,426,2000,75,2200
Federico Bernardeschi,83,RM,Normal,2.3K,5,3,H  M,81,75,81,87,60,66,185,55,450,2140,77,2300
Anderson Talisca,83,CAM,Normal,1.3K,4,4,H  L,77,82,80,81,57,72,190,348,449,2159,80,1300
Jonathan Tah,83,CB,Normal,3.5K,2,4,M  M,71,27,59,58,83,81,195,251,379,1696,,3500
Thomas Lemar,83,LM,Normal,2.9K,4,2,M  M,83,76,82,85,59,67,171,75,452,2185,62,2900
Andrej Kramaric,83,ST,Normal,950,4,4,M  M,73,85,73,85,30,71,177,206,417,2051,73,950
Dakonam Djene,83,CB,Normal,1.8K,2,4,M  H,72,37,61,62,83,79,178,36,394,1865,72,1800
Corentin Tolisso,83,CM,Normal,1.5K,3,3,H  M,69,77,79,78,76,79,181,438,458,2215,81,1500
Pau Lopez,83,GK,Normal,1.7K,1,3,M  M,82,83,79,84,48,82,189,47,458,1016,77,1700
Borja Iglesias,83,ST,Normal,1.1K,3,3,H  M,67,83,63,77,35,82,187,-10,407,1904,86,1100
Gonçalo Guedes,83,LM,Normal,2.7K,4,4,H  M,90,79,76,83,36,70,179,477,434,2052,68,2700
Giovani Lo Celso,83,CM,Normal,1.5K,4,3,H  M,77,78,82,84,65,72,177,712,458,2185,68,1500
Fabian,83,CM,Normal,1.7K,4,4,M  M,65,78,78,82,74,69,189,109,446,2127,70,1700
Manuel Akanji,83,CB,Normal,3.4K,2,3,M  H,78,45,68,72,83,80,187,1312,426,1943,91,3400
Trent Alexander-Arnold,83,RB,Normal,4.8K,3,4,H  M,80,62,82,78,78,70,180,632,450,2156,69,4800
Marcus Rashford,83,ST,Normal,3.4K,5,3,H  H,92,82,73,83,45,77,186,4848,452,2141,70,3400
Iker Casillas Fernandez,83,GK,Normal,1.1K,1,2,M  M,85,75,61,84,56,86,185,222,447,1001,84,1100
João Miranda de Souza Filho,83,CB,Normal,1.4K,2,3,M  H,64,49,60,68,84,74,186,-31,399,1875,78,1400
